complete_game,earned_runs,hbp,hits,hits_per_nine,homeruns,hr_per_nine,innings_pitched,left_on_base,pitcher_age,pitchers_used,runs,so_per_nine,so_walk,strikeouts,team,walks,walks_per_nine,whip,year
4,577,55,1366,8.6,145,0.9,1434.2,1036,28.6,26,635,8.4,3.69,1342,WSN,364,2.3,1.206,2015.0
2,821,57,1563,9.7,202,1.3,1451.1,1193,26.4,29,890,8.2,2.19,1318,ARI,603,3.7,1.492,2016.0
1,725,70,1414,8.8,177,1.1,1447.2,1128,26.4,35,779,7.6,2.24,1227,ATL,547,3.4,1.355,2016.0
1,671,51,1408,8.8,183,1.2,1432.0,1111,27.9,27,715,7.8,2.29,1248,BAL,545,3.4,1.364,2016.0
9,640,65,1342,8.4,176,1.1,1439.2,1060,29.0,26,694,8.5,2.78,1362,BOS,490,3.1,1.273,2016.0
5,511,63,1125,6.9,163,1.0,1459.2,998,29.9,26,556,8.9,2.91,1441,CHC,495,3.1,1.110,2016.0
7,659,68,1422,8.8,185,1.2,1446.2,1141,28.6,28,715,7.9,2.44,1270,CHW,521,3.2,1.343,2016.0
2,786,78,1457,9.1,258,1.6,1442.0,1168,27.1,32,854,7.7,1.95,1241,CIN,636,4.0,1.451,2016.0
5,617,34,1330,8.3,186,1.2,1445.0,1022,28.1,27,676,8.7,3.03,1398,CLE,461,2.9,1.239,2016.0
2,779,70,1532,9.6,181,1.1,1429.1,1141,27.7,25,860,7.7,2.24,1223,COL,547,3.4,1.455,2016.0
3,672,51,1417,8.9,182,1.1,1428.0,1043,29.0,23,721,7.8,2.67,1232,DET,462,2.9,1.316,2016.0
2,663,39,1441,8.8,181,1.1,1468.0,1075,28.9,23,701,8.6,3.08,1396,HOU,453,2.8,1.290,2016.0
3,674,60,1433,9.0,206,1.3,1440.0,1150,29.9,21,712,8.0,2.49,1287,KCR,517,3.2,1.354,2016.0
4,676,56,1480,9.4,208,1.3,1421.1,1129,28.4,30,727,7.2,2.28,1136,LAA,498,3.2,1.392,2016.0
3,598,53,1266,7.8,165,1.0,1453.0,1017,28.9,31,638,9.4,3.25,1510,LAD,464,2.9,1.191,2016.0
0,646,61,1358,8.5,152,1.0,1435.0,1177,28.0,31,682,8.6,2.32,1379,MIA,595,3.7,1.361,2016.0
0,650,66,1450,9.1,178,1.1,1434.1,1152,28.1,27,733,7.4,2.21,1175,MIL,532,3.3,1.382,2016.0
4,814,41,1617,10.1,221,1.4,1443.0,1096,28.3,29,889,7.4,2.49,1191,MIN,479,3.0,1.453,2016.0
1,574,35,1397,8.7,152,0.9,1447.0,1109,28.4,22,617,8.7,3.18,1396,NYM,439,2.7,1.269,2016.0
0,660,57,1358,8.6,214,1.3,1428.1,1036,27.9,29,702,8.8,3.14,1393,NYY,444,2.8,1.262,2016.0
2,718,50,1459,9.2,185,1.2,1433.1,1083,27.9,27,761,7.5,2.56,1188,OAK,464,2.9,1.342,2016.0
4,739,51,1468,9.2,213,1.3,1437.0,1057,26.3,27,796,8.1,2.79,1299,PHI,466,2.9,1.346,2016.0
5,679,68,1490,9.2,180,1.1,1450.2,1182,28.6,32,758,7.6,2.31,1232,PIT,533,3.3,1.395,2016.0
1,708,53,1425,8.9,183,1.1,1440.0,1138,28.1,32,770,7.6,2.15,1222,SDP,569,3.6,1.385,2016.0
2,647,55,1410,8.7,213,1.3,1457.0,1069,28.8,32,707,8.1,2.87,1318,SEA,460,2.8,1.283,2016.0
10,593,46,1334,8.2,158,1.0,1460.1,1037,30.0,25,631,8.1,2.98,1309,SFG,439,2.7,1.214,2016.0
